Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,GDP Growth Rate,1993-09-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1993-12-31T00:00:00,0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1994-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1994-06-30T00:00:00,-0.5,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,1994-09-30T00:00:00,1.2,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1994-12-31T00:00:00,-0.4,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1995-03-31T00:00:00,1.1,Quarterly,JGDPAGDP,2020-03-09T11:44:00
Japan,GDP Growth Rate,1995-06-30T00:00:00,0.9,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1995-09-30T00:00:00,1.2,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1995-12-31T00:00:00,0.2,Quarterly,JGDPAGDP,2019-08-09T13:29:00
Japan,GDP Growth Rate,1996-03-31T00:00:00,0.8,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,1996-06-30T00:00:00,1.3,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1996-09-30T00:00:00,0.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1996-12-31T00:00:00,1.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1997-03-31T00:00:00,0.3,Quarterly,JGDPAGDP,2018-06-08T10:47:00
Japan,GDP Growth Rate,1997-06-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,1997-09-30T00:00:00,0.2,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1997-12-31T00:00:00,0,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1998-03-31T00:00:00,-1.2,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1998-06-30T00:00:00,-0.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1998-09-30T00:00:00,0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1998-12-31T00:00:00,0.8,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1999-03-31T00:00:00,-1.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-06-30T00:00:00,0.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-09-30T00:00:00,0.5,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-12-31T00:00:00,0,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-03-31T00:00:00,1.7,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-06-30T00:00:00,0.5,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-09-30T00:00:00,0,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-12-31T00:00:00,1,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2001-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2001-06-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2001-09-30T00:00:00,-1.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2001-12-31T00:00:00,-0.3,Quarterly,JGDPAGDP,2017-12-08T14:42:00
Japan,GDP Growth Rate,2002-03-31T00:00:00,0.2,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,2002-06-30T00:00:00,0.8,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2002-09-30T00:00:00,0.3,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2002-12-31T00:00:00,0.3,Quarterly,JGDPAGDP,2017-12-08T14:42:00
Japan,GDP Growth Rate,2003-03-31T00:00:00,0.1,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2003-06-30T00:00:00,0.7,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2003-09-30T00:00:00,0.3,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2003-12-31T00:00:00,1.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,2004-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,2004-06-30T00:00:00,0,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,2004-09-30T00:00:00,0.6,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2004-12-31T00:00:00,-0.2,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2005-03-31T00:00:00,0.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,2005-06-30T00:00:00,0.8,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2005-09-30T00:00:00,1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,2005-12-31T00:00:00,0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,2006-03-31T00:00:00,0.2,Quarterly,JGDPAGDP,2022-02-21T15:59:00
Japan,GDP Growth Rate,2006-06-30T00:00:00,0.1,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2006-09-30T00:00:00,-0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,2006-12-31T00:00:00,1.4,Quarterly,JGDPAGDP,2022-11-15T11:22:00
Japan,GDP Growth Rate,2007-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2017-12-08T14:42:00
Japan,GDP Growth Rate,2007-06-30T00:00:00,0,Quarterly,JGDPAGDP,2022-02-21T15:59:00
Japan,GDP Growth Rate,2007-09-30T00:00:00,-0.5,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2007-12-31T00:00:00,0.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2008-03-31T00:00:00,0.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2008-06-30T00:00:00,-0.6,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2008-09-30T00:00:00,-1.2,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2008-12-31T00:00:00,-2.5,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2009-03-31T00:00:00,-4.8,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2009-06-30T00:00:00,1.9,Quarterly,JGDPAGDP,2022-11-15T11:22:00
Japan,GDP Growth Rate,2009-09-30T00:00:00,0,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2009-12-31T00:00:00,1.3,Quarterly,JGDPAGDP,2022-11-15T11:22:00
Japan,GDP Growth Rate,2010-03-31T00:00:00,1.1,Quarterly,JGDPAGDP,2022-02-21T15:59:00
Japan,GDP Growth Rate,2010-06-30T00:00:00,1.2,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2010-09-30T00:00:00,1.8,Quarterly,JGDPAGDP,2017-12-08T14:42:00
Japan,GDP Growth Rate,2010-12-31T00:00:00,-0.8,Quarterly,JGDPAGDP,2018-08-10T07:26:00
Japan,GDP Growth Rate,2011-03-31T00:00:00,-1.1,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2011-06-30T00:00:00,-0.9,Quarterly,JGDPAGDP,2021-05-18T07:08:00
Japan,GDP Growth Rate,2011-09-30T00:00:00,2.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2011-12-31T00:00:00,-0.1,Quarterly,JGDPAGDP,2022-02-21T15:59:00
Japan,GDP Growth Rate,2012-03-31T00:00:00,1.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2012-06-30T00:00:00,-0.9,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2012-09-30T00:00:00,-0.4,Quarterly,JGDPAGDP,2019-02-14T10:50:00
Japan,GDP Growth Rate,2012-12-31T00:00:00,-0.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2013-03-31T00:00:00,1.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2013-06-30T00:00:00,0.9,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2013-09-30T00:00:00,1,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2013-12-31T00:00:00,-0.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2014-03-31T00:00:00,0.8,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2014-06-30T00:00:00,-1.8,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2014-09-30T00:00:00,0.1,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2014-12-31T00:00:00,0.5,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2015-03-31T00:00:00,1.6,Quarterly,JGDPAGDP,2022-11-15T11:22:00
Japan,GDP Growth Rate,2015-06-30T00:00:00,0.1,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,2015-09-30T00:00:00,0.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2015-12-31T00:00:00,-0.2,Quarterly,JGDPAGDP,2022-11-15T11:22:00
